"URI","Label","Definition","Notation","Status","AcceptedDate"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/FC_TRA_RD_PUB_E","Final consumption - transport sector - road - public - energy use","","FC_TRA_RD_PUB_E","valid","2023-05-15"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/FC_TRA_RD_CAR_VAN_E","Final consumption - transport sector - road - cars and vans - energy use","","FC_TRA_RD_CAR_VAN_E","valid","2023-05-15"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/FC_TRA_RD_OTH_E","Final consumption - transport sector - road - other - energy use","","FC_TRA_RD_OTH_E","valid","2023-05-15"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/FC_TRA_RD_OTH_2WHV_E","Final consumption - transport sector - road - other - 2-wheeled vehicles - energy use","","FC_TRA_RD_OTH_2WHV_E","valid","2023-05-15"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/FC_TRA_AVI_E","Final consumption - transport sector - aviation - energy use","","FC_TRA_AVI_E","valid","2023-05-15"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/FC_TRA_INTAVI_E","Final consumption - transport sector - international aviation - energy use","","FC_TRA_INTAVI_E","valid","2023-05-15"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/FC_TRA_DNAVI_MAR_E","Final consumption - transport sector - domestic navigation - maritime - energy use","","FC_TRA_DNAVI_MAR_E","valid","2023-05-15"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/FC_TRA_DNAVI_IWW_E","Final consumption - transport sector - domestic navigation - inland waterways - energy use","","FC_TRA_DNAVI_IWW_E","valid","2023-05-15"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/FC_OTH_CP_E_HEAT","Final consumption - other sectors - commercial and public services - energy use - heating","","FC_OTH_CP_E_HEAT","valid","2023-05-15"
"http://dd.eionet.europa.eu/vocabulary/eurostat/nrg_bal/FC_OTH_CP_E_SH","Final consumption - other sectors - commercial and public services - energy use - space heating","","FC_OTH_CP_E_SH","valid","2023-05-15"
