DATAFLOW,LAST UPDATE,freq,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5110-5150_W6000RIS,KTOE,IS,2022,0.000,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5110-5150_W6000RIS,KTOE,IT,2021,7943.449,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5110-5150_W6000RIS,KTOE,IT,2022,7291.024,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5110-5150_W6000RIS,KTOE,LT,2021,1232.304,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5110-5150_W6000RIS,KTOE,LT,2022,1186.412,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5110-5150_W6000RIS,KTOE,LU,2021,156.780,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5110-5150_W6000RIS,KTOE,LU,2022,156.210,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5110-5150_W6000RIS,KTOE,LV,2021,1372.736,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5110-5150_W6000RIS,KTOE,LV,2022,1408.923,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5110-5150_W6000RIS,KTOE,MD,2021,625.400,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5110-5150_W6000RIS,KTOE,MD,2022,530.500,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5110-5150_W6000RIS,KTOE,ME,2021,155.608,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5110-5150_W6000RIS,KTOE,ME,2022,148.252,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5110-5150_W6000RIS,KTOE,MK,2021,210.718,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5110-5150_W6000RIS,KTOE,MK,2022,204.339,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5110-5150_W6000RIS,KTOE,MT,2021,1.565,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5110-5150_W6000RIS,KTOE,MT,2022,1.136,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5110-5150_W6000RIS,KTOE,NL,2021,1626.564,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5110-5150_W6000RIS,KTOE,NL,2022,1328.546,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5110-5150_W6000RIS,KTOE,NO,2021,820.886,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5110-5150_W6000RIS,KTOE,NO,2022,845.979,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5110-5150_W6000RIS,KTOE,PL,2021,8336.779,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5110-5150_W6000RIS,KTOE,PL,2022,8091.670,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5110-5150_W6000RIS,KTOE,PT,2021,2057.866,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5110-5150_W6000RIS,KTOE,PT,2022,2136.325,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5110-5150_W6000RIS,KTOE,RO,2021,3685.562,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5110-5150_W6000RIS,KTOE,RO,2022,3451.186,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5110-5150_W6000RIS,KTOE,RS,2021,1638.228,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5110-5150_W6000RIS,KTOE,RS,2022,1627.236,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5110-5150_W6000RIS,KTOE,SE,2021,9179.240,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5110-5150_W6000RIS,KTOE,SE,2022,9067.280,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5110-5150_W6000RIS,KTOE,SI,2021,591.392,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5110-5150_W6000RIS,KTOE,SI,2022,513.614,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5110-5150_W6000RIS,KTOE,SK,2021,1290.029,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5110-5150_W6000RIS,KTOE,SK,2022,1169.698,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5110-5150_W6000RIS,KTOE,XK,2021,0.000,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5110-5150_W6000RIS,KTOE,XK,2022,0.000,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5160,KTOE,AL,2021,2.474,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5160,KTOE,AL,2022,1.838,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5160,KTOE,AT,2021,11.531,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5160,KTOE,AT,2022,8.643,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5160,KTOE,BA,2021,9.098,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5160,KTOE,BE,2021,29.945,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5160,KTOE,BE,2022,25.859,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5160,KTOE,BG,2021,4.202,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5160,KTOE,BG,2022,4.466,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5160,KTOE,CY,2021,10.249,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5160,KTOE,CY,2022,11.437,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5160,KTOE,CZ,2021,0.000,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5160,KTOE,CZ,2022,0.000,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5160,KTOE,DE,2021,115.410,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5160,KTOE,DE,2022,90.953,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5160,KTOE,DK,2021,0.000,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5160,KTOE,DK,2022,0.000,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5160,KTOE,EA20,2021,388.863,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5160,KTOE,EA20,2022,345.153,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5160,KTOE,EE,2021,0.000,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5160,KTOE,EE,2022,0.000,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5160,KTOE,EL,2021,39.636,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5160,KTOE,EL,2022,37.169,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5160,KTOE,ES,2021,10.341,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5160,KTOE,ES,2022,10.341,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5160,KTOE,EU27_2020,2021,393.065,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5160,KTOE,EU27_2020,2022,349.619,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5160,KTOE,FI,2021,0.000,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5160,KTOE,FI,2022,0.000,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5160,KTOE,FR,2021,69.607,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5160,KTOE,FR,2022,65.911,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5160,KTOE,GE,2021,0.000,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5160,KTOE,GE,2022,0.000,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5160,KTOE,HR,2021,8.236,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5160,KTOE,HR,2022,6.918,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5160,KTOE,HU,2021,0.000,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5160,KTOE,HU,2022,0.000,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5160,KTOE,IE,2021,0.000,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5160,KTOE,IE,2022,0.000,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5160,KTOE,IS,2021,0.000,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5160,KTOE,IS,2022,0.000,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5160,KTOE,IT,2021,55.724,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5160,KTOE,IT,2022,48.199,
ESTAT:NRG_IND_RFCE(1.0),19/07/24 23:00:00,A,R5160,KTOE,LT,2021,3.825,
