STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,nrg_bal,Energy balance,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy - overall,PC,Percentage,BE,Belgium,2016,,8.744,,,,,
dataflow,ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy - overall,PC,Percentage,BE,Belgium,2017,,9.136,,,,,
dataflow,ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy - overall,PC,Percentage,BE,Belgium,2018,,9.472,,,,,
dataflow,ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy - overall,PC,Percentage,BE,Belgium,2019,,9.929,,,,,
dataflow,ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy - overall,PC,Percentage,BE,Belgium,2020,,13,,,,,
dataflow,ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy - overall,PC,Percentage,BE,Belgium,2021,,13.017,,,,,
dataflow,ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy - overall,PC,Percentage,BE,Belgium,2022,,13.831,,,,,
dataflow,ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy - overall,PC,Percentage,BE,Belgium,2023,,14.673,,,,,
dataflow,ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy - overall,PC,Percentage,BE,Belgium,2024,,14.336,,,,,
dataflow,ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy - overall,PC,Percentage,BG,Bulgaria,2015,,18.261,,,,,
dataflow,ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy - overall,PC,Percentage,BG,Bulgaria,2016,,18.76,,,,,
dataflow,ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy - overall,PC,Percentage,BG,Bulgaria,2017,,18.695,,,,,
dataflow,ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy - overall,PC,Percentage,BG,Bulgaria,2018,,20.581,,,,,
dataflow,ESTAT:NRG_IND_REN$DEFAULTVIEW(1.0),Share of energy from renewable sources,A,Annual,REN,Renewable energy - overall,PC,Percentage,BG,Bulgaria,2019,,21.545,,,,,
